"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"080605A",1.6403,1.30102999566398,-4.87614835903291,1.29885307640971,1.11,21.7380841782878,-12.5404,3.52993,0.680096,0.57477,0.0130943059870327,0.14,0.0122,0.02324,0.010692,0.35333
"080607A",3.04,1.89998456254939,-4.61978875828839,1.36361197989214,1.31,22.383867406416,-11.2452,2.024669,1.543158,0.98,0.0206806896144406,0.04,0.028099,0.025586,0.031343,0.0606
"080810A",3.35,2.0366688103001,-5.33724216831843,0.301029995663981,1.34,21.4507954827164,-10.4242,2.750635,1.160407,0.51,0.0434294481903252,0.06,0.019425,0.025429,0.008112,0.13
"080928A",1.69,2.36858437235748,-5.60205999132796,0.322219294733919,1.77,21.5103519475309,-12.67,4.45,2.25,1.08,0.0206806896144406,0.12,0.1,0.07,0.21,0.14
"081007A",0.53,0.958563883221967,-6.14874165128092,0.414973347970818,2.51,21.6960574353335,-12.93,4.83,1.26,0.27,0.0668145356774233,0.2,0.09,0.07,0.09,0.11
"081008A",1.97,2.26829708722377,-5.36653154442041,0.113943352306837,1.69,21.1376737003314,-11.22,3.51,1.29,0.38,0.0334072678387117,0.07,0.01,0.01,0.01,0.23
"081029A",3.85,2.43128333180726,-5.67778070526608,-0.301029995663981,1.43,21.4970458132253,-12.6223,4.599535,2.252306,1.08,0.173717792761301,0.18,0.095308,0.071694,0.171741,0.02
"081109A",0.98,2.28330122870355,-5.44369749923271,0.0413926851582251,1.72,21.2648178230095,-12.86,4.43,2.4,0.9,0.0175118742702924,0.09,0.45,0.31,1.02,0.07
"081228A",3.44,0.477121254719662,-7.05060999335509,-0.221848749616356,2.1,21.1693602061994,-12.9876,2.80122,1.18347,1.24,0.072382413650542,0.31,0.0492,0.047595,0.036055,0.285
"090102A",1.55,1.4320066872696,-7.16749108729376,0.740362689494244,1.36,21.7237617868897,-12.8492,3.8,1.153525,0.74,0.0631701064586548,0.08,0.071878,0.063638,0.018438,0.22
"090313A",3.38,1.89387267879508,-5.85387196432176,-0.0969100130080564,1.91,22.4411576287856,-11.4731,3.487381,0.938086,1,0.162860430713719,0.29,0.110788,0.148455,0.040385,0.103
"090423A",8.23,0.989894563718773,-6.22914798835786,0.230448921378274,0.8,22.7516324020264,-13.39,4.7,1.12,0.45,0.0510934684592061,0.5,0.08,0.09,0.1,0.13
"090529A",2.63,1.83765155784639,-5.60554831917378,0.113943352306837,1.54,21.3161150861621,-13.09,3.97,0.52,0.12,0.0620420688433217,0.31,0.03,0.07,0.02,0.0848
"090530A",1.266,1.68124123737559,-5.95860731484177,0.397940008672038,1.61,21.9619808069943,-11.6906,5.143885,2.121816,0.9,0.0521153378283902,0.17,0.175329,0.05081,0.05,0.08
"090618A",0.54,2.05388479039469,-3.97881070093006,1.58994960132571,1.42,21.3920001167197,-11.84,4.07,1.04,0.71,0.00893150605456559,0.08,0.01,0.01,0.008815,0.02
"090726A",2.71,1.77305469336426,-6.06550154875643,-0.154901959985743,2.25,22.0268926446161,-12.2265,3.354189,1.086752,1.3,0.124084137686643,0.19,0.098827,0.0975,0.195492,0.11
"091018A",0.971,0.639486489268586,-5.85387196432176,1.01283722470517,1.77,21.1918728074286,-12.6087,4.381196,1.272917,0.60705,0.0168658051224564,0.24,0.009407,0.009379,0.012642,0.01791
"091020A",1.71,1.59006123080374,-5.431798275933,0.6232492903979,1.53,21.7058748259769,-10.8705,2.58947,1.08875,1.06,0.0310210344216608,0.07,0.04935,0.04193,0.00706,0.09
"091024A",1.09,1.99519629159718,-5.21467016498923,0.301029995663981,1.2,22.2351242640195,-11.21,3.97,1.63,0.64,0.0651441722854878,0.08,0.04,0.03,0.04,0.29
"091029A",2.75,1.59328606702046,-5.61978875828839,0.255272505103306,1.46,21.450586248672,-12.77,4.45,1.1,0.43,0.0241274712168473,0.27,0.01,0.02,0.01,0.03
"091127A",0.49,0.842609239610562,-5.04575749056067,1.66745295288995,2.05,21.5670840328713,-12.02,4.42,1.19,0.43,0.0252170989492211,0.07,0.01,0.01,0.01,0.1
"000926A",2.04,1.39794000867204,-5.56863623584101,0.81424759573192,1.4,21.1376737003314,-12.89,5.12,2.14,1.01,0.0310210344216608,0.16,0.03,0.02,0.04,0.16
"970508A",0.83,1.12057393120585,-5.16941133131486,1.11058971029925,1.32,21.7098353631218,-13.8798,6.247263,1.487567,0.32,0.0299513435795346,0.31,0.072147,0.067354,0.155485,0.15
"990510A",1.62,1.82981818743888,-5.85387196432176,0.447158031342219,1.34,21.3805820432409,-12.3,4.83,1.58,0.17,0.0342864064660462,0.19,0.02,0.01,0.01,0.15
