"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"130702A",0.15,1.77085201164214,-4.86327943284359,1.66745295288995,1.69,21.8194636494443,-12.13,5.07,1.33,0.44,0.0141464000619952,0.07,0.02,0.01,0.02,0.09
"130831A",0.48,1.51188336097887,-5.18708664335714,1.13353890837022,1.93,21.7058748259769,-11.42,3.87,1.62,1,0.0191600506722023,0.05,0.03,0.01,0.01,0.05
"140206A",2.73,1.97127584873811,-4.79588001734407,1.28780172993023,1.04,22.005313527003,-10.879,2.792837,0.782606,0.8,0.0111931567500838,0.15,0.019998,0.061447,0.017861,0.03
"140423A",3.26,2.12710479836481,-5.0268721464003,0.322219294733919,1.33,21.8194636494443,-12.7746,4.184892,1.024631,0.54,0.0413613792288811,0.06,0.051905,0.057199,0.027846,0.08
"140430A",1.6,2.23952470315667,-5.95860731484177,0.397940008672038,2,21.6779699295723,-12.35,3.84,0.78,1.05,0.0347435585522601,0.22,0.02,0.04,0.03,0.08
"140801A",1.32,0.845098040014257,-6.05551732784983,0.81424759573192,1.29,21.0438100974747,-12.7942,4.204885,0.861959,0.67,0.0110060930345345,0.25,0.036239,0.047598,0.016398,0.16
"140907A",1.21,1.89872518158949,-5.36653154442041,0.397940008672038,1.72,21.4811071031878,-12.4311,4.201713,0.985034,1,0.0347435585522601,0.07,0.052537,0.073581,0.036083,0.07
"141121A",1.47,2.74028371968188,-5.27572413039921,-0.0457574905606751,1.73,21.5959071741383,-13.6665,5.982598,1.859053,0.9,0.144764827301084,0.13,0.125949,0.078746,0.276557,0.07
"141221A",1.45,1.52074547151948,-5.67778070526608,0.491361693834273,1.74,21.4678876805073,-11.3914,2.813159,1.248584,0.26,0.0280189988324679,0.08,0.019721,0.020312,0.033612,0.09
"150323A",0.593,2.17493159352844,-5.21467016498923,0.732393759822969,1.85,21.6926962555066,-13.0735,3.67566,0.561833,1.1,0.0241274712168473,0.07,0.057188,0.12415,0.05679,0.21
"150413A",3.139,2.42094540592197,-5.36653154442041,0.204119982655925,1.75,22.0524053421922,-12.0394,4.502865,2.371952,1.3,0.0814302153568597,0.14,0.03439,0.019262,0.046266,1.15
"151027A",0.81,2.11290649025331,-5.10790539730952,0.832508912706236,1.72,21.6507648945165,-11.4508,4.619188,1.852192,0.97,0.0383201013444046,0.05,0.01712,0.010892,0.014865,0.04
"160131A",0.972,2.51188336097887,-4.6903698325741,0.806179973983887,1.24,21.6809670024194,-11.1733,4.001806,1.287451,0.97,0.0203575538392149,0.05,0.041241,0.050707,0.038892,0.04
"160227A",2.38,2.50037371435337,-5.50863830616573,-0.221848749616356,0.75,21.4198962972673,-12.5779,3.999011,1.090414,0.7,0.072382413650542,0.51,0.508355,0.579293,0.340707,0.04
