"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10z"
"100316B",1.18,0.57978359661681,-6.69897000433602,0.113943352306837,2.23,21.4131521794925,-11.7542,4.081453,1.967914,1.14,0.0334072678387117,0.18,0.27115,0.206598,0.187277,0.14,0.338456493604605
"100513A",4.772,1.92427928606188,-5.85387196432176,-0.221848749616356,1.62,22.0524053421922,-13.0903,4.323621,1.387361,1.2,0.072382413650542,0.14,0.168576,0.213691,0.282343,0.1,0.761326322421457
"100621A",0.54,1.80311555489003,-4.67778070526608,1.10720996964787,1.9,22.2845480339141,-11.87,4.18,1.55,0.78,0.0101787769196075,0.03,0.03,0.02,0.05,0.09,0.187520720836463
"100901A",1.41,2.64001409543392,-5.67778070526608,-0.0969100130080564,1.52,21.4796472787694,-12.17,4.9,1.6,0.74,0.108573620475813,0.21,0.02,0.02,0.03,0.02,0.382017042574868
"100906A",1.73,2.05819818787825,-4.92081875395237,1.00432137378264,1.78,21.9619808069943,-10.419,2.603734,1.09688,0.84,0.0171997814615149,0.03,0.019906,0.023956,0.015473,0.22,0.436162647040756
"110205A",2.21,2.42618582524451,-4.76955107862173,0.556302500767287,1.8,21.3704298125407,-13.04,4.79,1.95,0.74,0.0241274712168473,0.04,0.06,0.03,0.11,0.04,0.506505032404872
"110213A",1.4607,1.68124123737559,-5.22914798835786,0.204119982655925,1.83,21.5670840328713,-11.5304,4.36285,1.91037,0.9,0.162860430713719,0.12,0.0418,0.03889,0.065815,0.06,0.391058669254855
"110422A",1.77,1.41329976408125,-4.38721614328026,1.48713837547719,0.86,22.0208831169582,-12.228,3.341312,0.628948,0.886,0.0141464000619952,0.1,0.131094,0.242676,0.035661,0.042,0.442479769064449
"110503A",1.613,1,-5,0.130333768495006,0.88,21.1363875861028,-12.984,4.715862,1.398045,0.8,0.0193019769734779,0.25,0.066674,0.06045,0.139784,0.04,0.417139409727326
"110715A",0.82,1.11394335230684,-4.92811799269387,1.73158876518674,1.25,22.0746007020993,-12.24,5.19,1.51,0.9,0.0088631526919031,0.12,0.06,0.06,0.09,0.22,0.260071387985075
